,id,location,morphology,ra,dec,x,y,p_sph,p_disk,p_irr,p_ps,real_x,real_y
400,402,"[2375, 494]","[0.008812046773144178, 0.9652069479052946, 0.023499727239472943, 0.002481278082088281]",110.9039654751505,-73.44292415375325,494.0,2375.0,0.008812046773144178,0.9652069479052946,0.023499727239472943,0.002481278082088281,1294.0,3175.0
401,403,"[2375, 758]","[0.03007248406208953, 0.0007411334301548088, 5.016408541643169e-05, 0.9691362184223392]",110.88852528013338,-73.44292877317311,758.0,2375.0,0.03007248406208953,0.0007411334301548088,5.016408541643169e-05,0.9691362184223392,1558.0,3175.0
402,404,"[2378, 1466]","[1.8770513396398978e-06, 0.834739568835116, 0.1650652484811285, 0.00019330563241582555]",110.8471174111469,-73.4428855504549,1466.0,2378.0,1.8770513396398978e-06,0.834739568835116,0.1650652484811285,0.00019330563241582555,2266.0,3178.0
403,405,"[2378, 1634]","[-0.0038321982210145593, 6.1504928476516985e-06, 0.0, 1.0038260477281669]",110.83729184974729,-73.44288595865982,1634.0,2378.0,-0.0038321982210145593,6.1504928476516985e-06,0.0,1.0038260477281669,2434.0,3178.0
404,406,"[2381, 1025]","[0.007932556579971415, 3.533224640698301e-05, 6.049153480056406e-05, 0.9919716196388211]",110.8729093888038,-73.44283228911034,1025.0,2381.0,0.007932556579971415,3.533224640698301e-05,6.049153480056406e-05,0.9919716196388211,1825.0,3181.0
405,407,"[2385, 794]","[0.05800925288806875, 0.9028310450640973, 0.039159702047833984, 0.0]",110.88641928041561,-73.44276264844531,794.0,2385.0,0.05800925288806875,0.9028310450640973,0.039159702047833984,0.0,1594.0,3185.0
406,408,"[2383, 732]","[0.020649913871900523, 0.15898922606145102, 0.8191031233413956, 0.0012577367252528723]",110.89004546307805,-73.442795035422,732.0,2383.0,0.020649913871900523,0.15898922606145102,0.8191031233413956,0.0012577367252528723,1532.0,3183.0
407,409,"[2391, 958]","[0.0, 0.6620460359638919, 0.33696481902407616, 0.0009891450120319055]",110.8768274787674,-73.44266484949277,958.0,2391.0,0.0,0.6620460359638919,0.33696481902407616,0.0009891450120319055,1758.0,3191.0
408,410,"[2401, 1783]","[0.9579501388884037, 3.393206282216349e-05, 0.0006208667826357275, 0.04139506226613839]",110.82857762290999,-73.44250260226032,1783.0,2401.0,0.9579501388884037,3.393206282216349e-05,0.0006208667826357275,0.04139506226613839,2583.0,3201.0
409,411,"[2406, 2103]","[4.415939192887921e-05, 0.8147718695648714, 0.18476323332901415, 0.0004207377141855842]",110.80986280549372,-73.442417995693,2103.0,2406.0,4.415939192887921e-05,0.8147718695648714,0.18476323332901415,0.0004207377141855842,2903.0,3206.0
410,412,"[2411, 1921]","[0.9788814791013105, 0.004485825958361102, 0.016528478644594655, 0.00010421629573372514]",110.82050693472578,-73.4423355913006,1921.0,2411.0,0.9788814791013105,0.004485825958361102,0.016528478644594655,0.00010421629573372514,2721.0,3211.0
411,413,"[2412, 1155]","[0.9520261660719372, 0.042489169870491714, 0.005484609006007693, 5.505156334984608e-08]",110.86530533583412,-73.44231691359103,1155.0,2412.0,0.9520261660719372,0.042489169870491714,0.005484609006007693,5.505156334984608e-08,1955.0,3212.0
412,414,"[2415, 1422]","[0.00011886703121786889, 0.9801168759019215, 0.019764257066860642, 0.0]",110.84969018584975,-73.44226870087013,1422.0,2415.0,0.00011886703121786889,0.9801168759019215,0.019764257066860642,0.0,2222.0,3215.0
